epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6713,1.27304,3.85961,1.19846,0.01946,0.34153,0.0509,0.03495,1.16263,3.88277,1.05936,0.000234033,0.000234033,0.000234033
2,53.7405,1.33255,3.02516,1.19511,0.54448,0.08586,0.07671,0.05422,1.23762,3.30784,1.12364,0.000462687,0.000462687,0.000462687
3,82.2014,1.30836,2.90014,1.19393,0.61671,0.11986,0.09562,0.06002,1.34368,3.27147,1.20029,0.000681916,0.000681916,0.000681916
4,111.178,1.30803,2.72751,1.1813,0.24031,0.2123,0.10512,0.07145,1.34289,2.94391,1.19336,0.000671588,0.000671588,0.000671588
5,141.089,1.29202,2.67211,1.1917,0.31766,0.22661,0.14404,0.10349,1.28581,2.83506,1.17686,0.000657451,0.000657451,0.000657451
6,169.997,1.30671,2.62221,1.17458,0.25041,0.24465,0.13343,0.09398,1.29561,2.89191,1.1469,0.000643314,0.000643314,0.000643314
7,199.061,1.26803,2.48375,1.15049,0.38154,0.20338,0.12921,0.08392,1.25981,3.04022,1.16328,0.000629177,0.000629177,0.000629177
8,227.628,1.27406,2.42057,1.1633,0.32248,0.22524,0.15646,0.11356,1.26398,2.71859,1.14323,0.00061504,0.00061504,0.00061504
9,255.3,1.24373,2.30558,1.13301,0.35073,0.22587,0.15899,0.11531,1.26474,2.65448,1.16373,0.000600902,0.000600902,0.000600902
10,281.168,1.22926,2.28825,1.13749,0.30588,0.27942,0.14601,0.10125,1.24595,2.70243,1.13659,0.000586765,0.000586765,0.000586765
11,308.838,1.1922,2.15025,1.10714,0.22889,0.28695,0.1787,0.12335,1.21838,2.46155,1.13241,0.000572628,0.000572628,0.000572628
12,337.005,1.19219,2.10075,1.10148,0.35062,0.22287,0.15864,0.11327,1.27418,2.50773,1.17072,0.000558491,0.000558491,0.000558491
13,365.27,1.21442,2.05141,1.10738,0.34888,0.24191,0.19504,0.1436,1.24185,2.45164,1.13746,0.000544354,0.000544354,0.000544354
14,394.462,1.13385,2.0207,1.09523,0.22606,0.26536,0.17432,0.12025,1.23674,2.50399,1.13791,0.000530216,0.000530216,0.000530216
15,420.637,1.17099,1.97711,1.09779,0.38957,0.27942,0.21047,0.15307,1.24897,2.43443,1.12752,0.000516079,0.000516079,0.000516079
16,448.148,1.13844,1.88298,1.08208,0.35874,0.22211,0.16753,0.12107,1.24912,2.55155,1.12928,0.000501942,0.000501942,0.000501942
17,477.82,1.13091,1.88045,1.07271,0.27086,0.27636,0.19938,0.14659,1.22107,2.47084,1.10494,0.000487805,0.000487805,0.000487805
18,506.18,1.11256,1.81342,1.06821,0.31193,0.2744,0.19718,0.14106,1.23418,2.39338,1.11575,0.000473668,0.000473668,0.000473668
